# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 260         5.180       52.100      1.90        De Bilt     
# YYYYMMDD  : datum (YYYY=jaar;MM=maand;DD=dag)
# HH        : tijd (HH=uur; UT.12 UT=13 MET; 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT
# T         : Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming / Temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation
# T10N      : Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur / Minimum temperature (in 0.1 degrees Celsius) at 0.1 m in the preceding 6-hour period
# TD        : Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming / Dew point temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation
# STN,YYYYMMDD,   HH,    T, T10N,   TD
  260,20210102,   23,   36,     ,   29
  260,20210102,   24,   36,   34,   27
  260,20210103,    1,   32,     ,   24
  260,20210103,    2,   29,     ,   26
  260,20210103,    3,   31,     ,   26
  260,20210103,    4,   31,     ,   26
  260,20210103,    5,   31,     ,   24
  260,20210103,    6,   29,   26,   20
  260,20210103,    7,   29,     ,   23
  260,20210103,    8,   30,     ,   23
  260,20210103,    9,   31,     ,   23
  260,20210103,   10,   35,     ,   19
  260,20210103,   11,   35,     ,   -1
  260,20210103,   12,   35,   25,    3
  260,20210103,   13,   39,     ,    5
  260,20210103,   14,   39,     ,   10
  260,20210103,   15,   38,     ,    4
  260,20210103,   16,   36,     ,   -5
  260,20210103,   17,   35,     ,   -7
  260,20210103,   18,   35,   27,   -2
  260,20210103,   19,   35,     ,    0
  260,20210103,   20,   33,     ,    4
  260,20210103,   21,   32,     ,    7
  260,20210103,   22,   30,     ,   12
  260,20210103,   23,   30,     ,   15
  260,20210103,   24,   32,   26,   17
  260,20210104,    1,   31,     ,   18
  260,20210104,    2,   29,     ,   19
  260,20210104,    3,   29,     ,   20
  260,20210104,    4,   29,     ,   19
  260,20210104,    5,   30,     ,   17
  260,20210104,    6,   30,   27,   18
  260,20210104,    7,   31,     ,   17
  260,20210104,    8,   31,     ,   18
  260,20210104,    9,   34,     ,   19
  260,20210104,   10,   35,     ,   15
  260,20210104,   11,   32,     ,   14
  260,20210104,   12,   31,   27,    9
  260,20210104,   13,   29,     ,    5
  260,20210104,   14,   29,     ,    1
  260,20210104,   15,   27,     ,   -1
  260,20210104,   16,   26,     ,   -3
  260,20210104,   17,   25,     ,   -2
  260,20210104,   18,   24,   21,    0
  260,20210104,   19,   25,     ,   -1
  260,20210104,   20,   25,     ,    1
  260,20210104,   21,   26,     ,    0
  260,20210104,   22,   24,     ,    1
  260,20210104,   23,   23,     ,    3
  260,20210104,   24,   23,   21,    3
  260,20210105,    1,   23,     ,    3
  260,20210105,    2,   21,     ,    4
  260,20210105,    3,   22,     ,    4
  260,20210105,    4,   23,     ,    4
  260,20210105,    5,   23,     ,    5
  260,20210105,    6,   22,   20,    7
  260,20210105,    7,   23,     ,    9
  260,20210105,    8,   24,     ,   12
  260,20210105,    9,   27,     ,   11
  260,20210105,   10,   29,     ,   14
  260,20210105,   11,   34,     ,   15
  260,20210105,   12,   31,   21,   17
  260,20210105,   13,   31,     ,   17
  260,20210105,   14,   29,     ,   17
  260,20210105,   15,   31,     ,   16
  260,20210105,   16,   32,     ,   15
  260,20210105,   17,   33,     ,   14
  260,20210105,   18,   33,   28,   16
  260,20210105,   19,   35,     ,   19
  260,20210105,   20,   36,     ,   19
  260,20210105,   21,   35,     ,   20
  260,20210105,   22,   35,     ,   21
  260,20210105,   23,   34,     ,   20
  260,20210105,   24,   32,   30,   19
  260,20210106,    1,   30,     ,   18
  260,20210106,    2,   29,     ,   14
  260,20210106,    3,   24,     ,    8
  260,20210106,    4,   23,     ,    5
  260,20210106,    5,   22,     ,    5
  260,20210106,    6,   20,   18,    1
  260,20210106,    7,   20,     ,    0
  260,20210106,    8,   20,     ,   -2
  260,20210106,    9,   22,     ,    2
  260,20210106,   10,   25,     ,    4
  260,20210106,   11,   26,     ,    3
  260,20210106,   12,   30,   17,    1
  260,20210106,   13,   31,     ,    0
  260,20210106,   14,   31,     ,    5
  260,20210106,   15,   29,     ,    8
  260,20210106,   16,   27,     ,    2
  260,20210106,   17,   23,     ,    1
  260,20210106,   18,   23,   17,    2
  260,20210106,   19,   23,     ,    0
  260,20210106,   20,   21,     ,    2
  260,20210106,   21,   22,     ,    2
  260,20210106,   22,   22,     ,   -1
  260,20210106,   23,   15,     ,    3
  260,20210106,   24,   13,    9,    5
  260,20210107,    1,   15,     ,    5
  260,20210107,    2,   13,     ,    5
  260,20210107,    3,   14,     ,    7
  260,20210107,    4,   14,     ,    8
  260,20210107,    5,   16,     ,    8
  260,20210107,    6,   18,    9,   12
  260,20210107,    7,   20,     ,   14
  260,20210107,    8,   19,     ,   13
  260,20210107,    9,   24,     ,   19
  260,20210107,   10,   27,     ,   18
  260,20210107,   11,   31,     ,   22
  260,20210107,   12,   37,   12,   26
  260,20210107,   13,   40,     ,   20
  260,20210107,   14,   28,     ,   19
  260,20210107,   15,   37,     ,   24
  260,20210107,   16,   35,     ,   20
  260,20210107,   17,   33,     ,   23
  260,20210107,   18,   32,   27,   23
  260,20210107,   19,   34,     ,   24
  260,20210107,   20,   29,     ,   25
  260,20210107,   21,   26,     ,   21
  260,20210107,   22,   26,     ,   20
  260,20210107,   23,   26,     ,   21
  260,20210107,   24,   26,   22,   21
  260,20210108,    1,   25,     ,   20
  260,20210108,    2,   25,     ,   21
  260,20210108,    3,   27,     ,   21
  260,20210108,    4,   26,     ,   22
  260,20210108,    5,   24,     ,   20
  260,20210108,    6,   13,   10,    9
  260,20210108,    7,   11,     ,    8
  260,20210108,    8,   13,     ,   10
  260,20210108,    9,   20,     ,   17
  260,20210108,   10,   29,     ,   23
  260,20210108,   11,   33,     ,   19
  260,20210108,   12,   35,    4,   15
  260,20210108,   13,   39,     ,   16
  260,20210108,   14,   43,     ,   15
  260,20210108,   15,   31,     ,    7
  260,20210108,   16,   10,     ,    1
  260,20210108,   17,   -2,     ,   -6
  260,20210108,   18,  -12,  -20,  -15
  260,20210108,   19,  -20,     ,  -23
  260,20210108,   20,  -14,     ,  -18
  260,20210108,   21,  -18,     ,  -21
  260,20210108,   22,  -20,     ,  -22
  260,20210108,   23,  -25,     ,  -28
  260,20210108,   24,  -28,  -35,  -30
  260,20210109,    1,  -30,     ,  -32
  260,20210109,    2,  -34,     ,  -38
  260,20210109,    3,  -27,     ,  -31
  260,20210109,    4,  -33,     ,  -39
  260,20210109,    5,  -39,     ,  -43
  260,20210109,    6,  -42,  -47,  -45
  260,20210109,    7,  -44,     ,  -48
  260,20210109,    8,  -42,     ,  -46
  260,20210109,    9,  -15,     ,  -20
  260,20210109,   10,    3,     ,   -1
  260,20210109,   11,   37,     ,   20
  260,20210109,   12,   55,  -54,   15
  260,20210109,   13,   57,     ,   19
  260,20210109,   14,   61,     ,   18
  260,20210109,   15,   53,     ,   17
  260,20210109,   16,   31,     ,   21
  260,20210109,   17,   11,     ,    9
  260,20210109,   18,   -8,  -18,  -13
  260,20210109,   19,  -17,     ,  -17
  260,20210109,   20,  -23,     ,  -23
  260,20210109,   21,  -27,     ,  -28
  260,20210109,   22,  -31,     ,  -32
  260,20210109,   23,  -25,     ,  -28
  260,20210109,   24,  -24,  -42,  -27
  260,20210110,    1,  -28,     ,  -31
  260,20210110,    2,  -19,     ,  -22
  260,20210110,    3,  -28,     ,  -31
  260,20210110,    4,  -26,     ,  -30
  260,20210110,    5,  -30,     ,  -34
  260,20210110,    6,  -33,  -40,  -38
  260,20210110,    7,  -26,     ,  -30
  260,20210110,    8,  -15,     ,  -17
  260,20210110,    9,   -2,     ,   -6
  260,20210110,   10,   20,     ,   14
  260,20210110,   11,   47,     ,   16
  260,20210110,   12,   50,  -40,   15
  260,20210110,   13,   51,     ,   12
  260,20210110,   14,   46,     ,   12
  260,20210110,   15,   45,     ,   11
  260,20210110,   16,   42,     ,   13
  260,20210110,   17,   39,     ,   13
  260,20210110,   18,   39,   34,   16
  260,20210110,   19,   39,     ,   17
  260,20210110,   20,   37,     ,   19
  260,20210110,   21,   36,     ,   19
  260,20210110,   22,   37,     ,   21
  260,20210110,   23,   35,     ,   21
  260,20210110,   24,   38,   33,   23
  260,20210111,    1,   37,     ,   22
  260,20210111,    2,   36,     ,   21
  260,20210111,    3,   33,     ,   21
  260,20210111,    4,   29,     ,   20
  260,20210111,    5,   34,     ,   25
  260,20210111,    6,   38,   28,   27
  260,20210111,    7,   38,     ,   26
  260,20210111,    8,   38,     ,   24
  260,20210111,    9,   40,     ,   24
  260,20210111,   10,   44,     ,   26
  260,20210111,   11,   47,     ,   26
  260,20210111,   12,   49,   35,   27
  260,20210111,   13,   50,     ,   27
  260,20210111,   14,   52,     ,   29
  260,20210111,   15,   55,     ,   32
  260,20210111,   16,   58,     ,   34
  260,20210111,   17,   62,     ,   30
  260,20210111,   18,   61,   47,   35
  260,20210111,   19,   61,     ,   40
  260,20210111,   20,   59,     ,   50
  260,20210111,   21,   65,     ,   54
  260,20210111,   22,   67,     ,   53
  260,20210111,   23,   68,     ,   57
  260,20210111,   24,   70,   56,   61
  260,20210112,    1,   69,     ,   63
  260,20210112,    2,   71,     ,   65
  260,20210112,    3,   77,     ,   72
  260,20210112,    4,   79,     ,   73
  260,20210112,    5,   82,     ,   75
  260,20210112,    6,   78,   67,   69
  260,20210112,    7,   74,     ,   60
  260,20210112,    8,   66,     ,   58
  260,20210112,    9,   60,     ,   48
  260,20210112,   10,   60,     ,   39
  260,20210112,   11,   63,     ,   34
  260,20210112,   12,   60,   50,    2
  260,20210112,   13,   68,     ,  -10
  260,20210112,   14,   67,     ,    2
  260,20210112,   15,   44,     ,   20
  260,20210112,   16,   39,     ,   20
  260,20210112,   17,   33,     ,   15
  260,20210112,   18,   24,    2,   12
  260,20210112,   19,   12,     ,   -1
  260,20210112,   20,   20,     ,   -2
  260,20210112,   21,   28,     ,   -4
  260,20210112,   22,   34,     ,    2
  260,20210112,   23,   25,     ,    0
  260,20210112,   24,   23,  -16,    0
  260,20210113,    1,   24,     ,   12
  260,20210113,    2,   29,     ,    3
  260,20210113,    3,   31,     ,   14
  260,20210113,    4,   35,     ,   16
  260,20210113,    5,   38,     ,    6
  260,20210113,    6,   39,    2,    3
  260,20210113,    7,   38,     ,   -1
  260,20210113,    8,   37,     ,    0
  260,20210113,    9,   46,     ,    3
  260,20210113,   10,   50,     ,    6
  260,20210113,   11,   54,     ,    7
  260,20210113,   12,   60,   20,    3
  260,20210113,   13,   55,     ,   -4
  260,20210113,   14,   53,     ,    1
  260,20210113,   15,   50,     ,    4
  260,20210113,   16,   49,     ,   10
  260,20210113,   17,   46,     ,   16
  260,20210113,   18,   44,   34,   23
  260,20210113,   19,   45,     ,   24
  260,20210113,   20,   49,     ,   20
  260,20210113,   21,   46,     ,   30
  260,20210113,   22,   42,     ,   28
  260,20210113,   23,   40,     ,    7
  260,20210113,   24,   36,   27,   -9
  260,20210114,    1,   33,     ,  -14
  260,20210114,    2,   28,     ,  -13
  260,20210114,    3,   15,     ,   -5
  260,20210114,    4,    5,     ,   -6
  260,20210114,    5,    2,     ,   -5
  260,20210114,    6,    7,    0,   -7
  260,20210114,    7,    4,     ,   -7
  260,20210114,    8,   10,     ,   -9
  260,20210114,    9,   15,     ,   -9
  260,20210114,   10,   19,     ,  -13
  260,20210114,   11,   21,     ,  -14
  260,20210114,   12,   23,    0,  -17
  260,20210114,   13,   22,     ,  -19
  260,20210114,   14,   21,     ,  -19
  260,20210114,   15,   19,     ,  -26
  260,20210114,   16,   17,     ,  -24
  260,20210114,   17,   13,     ,  -23
  260,20210114,   18,   11,   -1,  -20
  260,20210114,   19,    8,     ,  -22
  260,20210114,   20,    0,     ,  -23
  260,20210114,   21,   -1,     ,  -24
  260,20210114,   22,   -4,     ,  -21
  260,20210114,   23,   -5,     ,  -23
  260,20210114,   24,   -6,  -19,  -31
  260,20210115,    1,   -4,     ,  -37
  260,20210115,    2,    0,     ,  -33
  260,20210115,    3,    5,     ,  -34
  260,20210115,    4,    8,     ,  -35
  260,20210115,    5,    9,     ,  -32
  260,20210115,    6,   12,  -23,  -32
  260,20210115,    7,   15,     ,  -36
  260,20210115,    8,   10,     ,  -31
  260,20210115,    9,   14,     ,  -30
  260,20210115,   10,   14,     ,  -22
  260,20210115,   11,   15,     ,  -18
  260,20210115,   12,   21,    1,  -18
  260,20210115,   13,   22,     ,  -18
  260,20210115,   14,   22,     ,  -17
  260,20210115,   15,   23,     ,  -14
  260,20210115,   16,   15,     ,  -10
  260,20210115,   17,    8,     ,   -9
  260,20210115,   18,    9,    4,  -11
  260,20210115,   19,    8,     ,   -8
  260,20210115,   20,    7,     ,  -10
  260,20210115,   21,   14,     ,  -15
  260,20210115,   22,   15,     ,  -16
  260,20210115,   23,   14,     ,  -15
  260,20210115,   24,   12,    3,  -13
  260,20210116,    1,   14,     ,  -12
  260,20210116,    2,   15,     ,  -13
  260,20210116,    3,   14,     ,  -11
  260,20210116,    4,   17,     ,  -12
  260,20210116,    5,   17,     ,  -17
  260,20210116,    6,   15,    5,  -17
  260,20210116,    7,   18,     ,  -28
  260,20210116,    8,   18,     ,  -34
  260,20210116,    9,   18,     ,  -32
  260,20210116,   10,   19,     ,  -30
  260,20210116,   11,   19,     ,  -30
  260,20210116,   12,   19,    8,  -30
  260,20210116,   13,   19,     ,  -39
  260,20210116,   14,   16,     ,  -44
  260,20210116,   15,   -5,     ,  -20
  260,20210116,   16,   -8,     ,  -12
  260,20210116,   17,   -9,     ,  -11
  260,20210116,   18,   -9,   -6,  -11
  260,20210116,   19,   -8,     ,  -10
  260,20210116,   20,   -5,     ,   -8
  260,20210116,   21,   -3,     ,   -9
  260,20210116,   22,   -2,     ,   -9
  260,20210116,   23,   -2,     ,   -8
  260,20210116,   24,   -1,   -6,   -8
  260,20210117,    1,    0,     ,   -4
  260,20210117,    2,    2,     ,   -1
  260,20210117,    3,    4,     ,    1
  260,20210117,    4,    5,     ,    3
  260,20210117,    5,    6,     ,    3
  260,20210117,    6,    5,   -1,    3
  260,20210117,    7,    6,     ,    3
  260,20210117,    8,    6,     ,    3
  260,20210117,    9,   33,     ,   32
  260,20210117,   10,   47,     ,   38
  260,20210117,   11,   55,     ,   43
  260,20210117,   12,   69,    8,   47
  260,20210117,   13,   78,     ,   44
  260,20210117,   14,   74,     ,   43
  260,20210117,   15,   59,     ,   38
  260,20210117,   16,   54,     ,   43
  260,20210117,   17,   46,     ,   40
  260,20210117,   18,   43,   21,   37
  260,20210117,   19,   43,     ,   33
  260,20210117,   20,   49,     ,   39
  260,20210117,   21,   44,     ,   34
  260,20210117,   22,   34,     ,   27
  260,20210117,   23,   28,     ,   23
  260,20210117,   24,   24,    0,   18
  260,20210118,    1,   30,     ,   19
  260,20210118,    2,   25,     ,   15
  260,20210118,    3,   30,     ,   19
  260,20210118,    4,   31,     ,   23
  260,20210118,    5,   36,     ,   29
  260,20210118,    6,   39,    3,   31
  260,20210118,    7,   39,     ,   30
  260,20210118,    8,   44,     ,   32
  260,20210118,    9,   46,     ,   36
  260,20210118,   10,   51,     ,   39
  260,20210118,   11,   55,     ,   38
  260,20210118,   12,   57,   30,   40
  260,20210118,   13,   63,     ,   42
  260,20210118,   14,   63,     ,   42
  260,20210118,   15,   62,     ,   35
  260,20210118,   16,   57,     ,   36
  260,20210118,   17,   58,     ,   39
  260,20210118,   18,   54,   44,   38
  260,20210118,   19,   53,     ,   40
  260,20210118,   20,   52,     ,   38
  260,20210118,   21,   53,     ,   37
  260,20210118,   22,   50,     ,   37
  260,20210118,   23,   55,     ,   42
  260,20210118,   24,   59,   44,   39
  260,20210119,    1,   57,     ,   29
  260,20210119,    2,   54,     ,   31
  260,20210119,    3,   48,     ,   32
  260,20210119,    4,   46,     ,   35
  260,20210119,    5,   48,     ,   42
  260,20210119,    6,   54,   42,   45
  260,20210119,    7,   61,     ,   52
  260,20210119,    8,   68,     ,   58
  260,20210119,    9,   74,     ,   66
  260,20210119,   10,   79,     ,   73
  260,20210119,   11,   95,     ,   90
  260,20210119,   12,   99,   51,   91
  260,20210119,   13,  102,     ,   86
  260,20210119,   14,  103,     ,   85
  260,20210119,   15,  100,     ,   81
  260,20210119,   16,   98,     ,   73
  260,20210119,   17,   97,     ,   70
  260,20210119,   18,   93,   87,   67
  260,20210119,   19,   91,     ,   62
  260,20210119,   20,   86,     ,   61
  260,20210119,   21,   79,     ,   54
  260,20210119,   22,   74,     ,   50
  260,20210119,   23,   74,     ,   49
  260,20210119,   24,   73,   69,   47
  260,20210120,    1,   72,     ,   42
  260,20210120,    2,   69,     ,   44
  260,20210120,    3,   70,     ,   50
  260,20210120,    4,   74,     ,   49
  260,20210120,    5,   77,     ,   49
  260,20210120,    6,   80,   65,   49
  260,20210120,    7,   82,     ,   48
  260,20210120,    8,   84,     ,   54
  260,20210120,    9,   82,     ,   55
  260,20210120,   10,   90,     ,   46
  260,20210120,   11,   92,     ,   40
  260,20210120,   12,   95,   75,   31
  260,20210120,   13,   94,     ,   34
  260,20210120,   14,   94,     ,   35
  260,20210120,   15,   97,     ,   33
  260,20210120,   16,   94,     ,   27
  260,20210120,   17,   96,     ,   21
  260,20210120,   18,   97,   77,   20
  260,20210120,   19,  102,     ,   24
  260,20210120,   20,  106,     ,   28
  260,20210120,   21,  104,     ,   41
  260,20210120,   22,   98,     ,   49
  260,20210120,   23,  102,     ,   52
  260,20210120,   24,  108,   80,   51
  260,20210121,    1,  111,     ,   52
  260,20210121,    2,  113,     ,   53
  260,20210121,    3,  114,     ,   62
  260,20210121,    4,   60,     ,   43
  260,20210121,    5,   77,     ,   36
  260,20210121,    6,   68,   52,   24
  260,20210121,    7,   61,     ,   14
  260,20210121,    8,   55,     ,   14
  260,20210121,    9,   61,     ,   18
  260,20210121,   10,   68,     ,   31
  260,20210121,   11,   76,     ,   29
  260,20210121,   12,   80,   43,   30
  260,20210121,   13,   79,     ,   29
  260,20210121,   14,   81,     ,   28
  260,20210121,   15,   79,     ,   28
  260,20210121,   16,   76,     ,   27
  260,20210121,   17,   75,     ,   30
  260,20210121,   18,   76,   65,   34
  260,20210121,   19,   56,     ,   35
  260,20210121,   20,   50,     ,   42
  260,20210121,   21,   47,     ,   42
  260,20210121,   22,   44,     ,   40
  260,20210121,   23,   35,     ,   29
  260,20210121,   24,   35,   32,   29
  260,20210122,    1,   38,     ,   28
  260,20210122,    2,   40,     ,   31
  260,20210122,    3,   39,     ,   29
  260,20210122,    4,   36,     ,   24
  260,20210122,    5,   37,     ,   26
  260,20210122,    6,   37,   26,   26
  260,20210122,    7,   34,     ,   23
  260,20210122,    8,   35,     ,   21
  260,20210122,    9,   34,     ,   21
  260,20210122,   10,   44,     ,   27
  260,20210122,   11,   58,     ,   31
  260,20210122,   12,   62,   22,   30
  260,20210122,   13,   61,     ,   29
  260,20210122,   14,   64,     ,   24
  260,20210122,   15,   58,     ,   22
  260,20210122,   16,   52,     ,   23
  260,20210122,   17,   46,     ,   24
  260,20210122,   18,   37,   21,   21
  260,20210122,   19,   35,     ,   20
  260,20210122,   20,   31,     ,   17
  260,20210122,   21,   25,     ,   10
  260,20210122,   22,   23,     ,    7
  260,20210122,   23,   21,     ,    5
  260,20210122,   24,   12,   -7,    2
  260,20210123,    1,   17,     ,    2
  260,20210123,    2,   14,     ,    1
  260,20210123,    3,   21,     ,   10
  260,20210123,    4,   26,     ,   13
  260,20210123,    5,   24,     ,   14
  260,20210123,    6,   33,   -6,   20
  260,20210123,    7,   37,     ,   21
  260,20210123,    8,   36,     ,   19
  260,20210123,    9,   38,     ,   20
  260,20210123,   10,   40,     ,   21
  260,20210123,   11,   43,     ,   19
  260,20210123,   12,   47,   27,   20
  260,20210123,   13,   52,     ,   18
  260,20210123,   14,   49,     ,   20
  260,20210123,   15,   45,     ,   17
  260,20210123,   16,   39,     ,   16
  260,20210123,   17,   21,     ,   12
  260,20210123,   18,   15,    6,   12
  260,20210123,   19,   25,     ,   17
  260,20210123,   20,   27,     ,   13
  260,20210123,   21,   26,     ,   13
  260,20210123,   22,   26,     ,   13
  260,20210123,   23,   28,     ,   12
  260,20210123,   24,   27,   10,   13
  260,20210124,    1,   26,     ,    3
  260,20210124,    2,   21,     ,    6
  260,20210124,    3,   24,     ,    9
  260,20210124,    4,   26,     ,   10
  260,20210124,    5,   25,     ,   11
  260,20210124,    6,   19,    9,    7
  260,20210124,    7,   12,     ,    2
  260,20210124,    8,    6,     ,   -5
  260,20210124,    9,   17,     ,    5
  260,20210124,   10,   33,     ,    8
  260,20210124,   11,   52,     ,   16
  260,20210124,   12,   52,  -10,   12
  260,20210124,   13,   51,     ,   -6
  260,20210124,   14,   43,     ,   -3
  260,20210124,   15,   37,     ,   -6
  260,20210124,   16,   30,     ,   -5
  260,20210124,   17,   25,     ,   -4
  260,20210124,   18,   17,    5,   -6
  260,20210124,   19,   14,     ,   -7
  260,20210124,   20,   13,     ,   -7
  260,20210124,   21,   10,     ,   -9
  260,20210124,   22,    8,     ,  -10
  260,20210124,   23,    5,     ,  -14
  260,20210124,   24,    3,  -10,  -14
  260,20210125,    1,   -1,     ,  -16
  260,20210125,    2,    1,     ,  -15
  260,20210125,    3,    3,     ,  -15
  260,20210125,    4,   -3,     ,  -18
  260,20210125,    5,   -9,     ,  -19
  260,20210125,    6,  -12,  -23,  -21
  260,20210125,    7,  -24,     ,  -30
  260,20210125,    8,  -27,     ,  -30
  260,20210125,    9,    0,     ,   -7
  260,20210125,   10,   29,     ,   -5
  260,20210125,   11,   40,     ,  -11
  260,20210125,   12,   53,  -37,    2
  260,20210125,   13,   55,     ,   -2
  260,20210125,   14,   48,     ,    1
  260,20210125,   15,   47,     ,   -4
  260,20210125,   16,   40,     ,   -2
  260,20210125,   17,   40,     ,   -3
  260,20210125,   18,   36,   27,   11
  260,20210125,   19,   37,     ,   20
  260,20210125,   20,   30,     ,   16
  260,20210125,   21,   48,     ,   17
  260,20210125,   22,   34,     ,   18
  260,20210125,   23,   36,     ,   19
  260,20210125,   24,   44,   24,   25
  260,20210126,    1,   39,     ,   17
  260,20210126,    2,   41,     ,   15
  260,20210126,    3,   40,     ,   13
  260,20210126,    4,   43,     ,   17
  260,20210126,    5,   44,     ,   16
  260,20210126,    6,   41,   26,   20
  260,20210126,    7,   42,     ,   19
  260,20210126,    8,   42,     ,   18
  260,20210126,    9,   43,     ,   24
  260,20210126,   10,   51,     ,   23
  260,20210126,   11,   57,     ,   27
  260,20210126,   12,   59,   28,   21
  260,20210126,   13,   59,     ,   25
  260,20210126,   14,   63,     ,   23
  260,20210126,   15,   65,     ,   11
  260,20210126,   16,   51,     ,   10
  260,20210126,   17,   41,     ,    1
  260,20210126,   18,   42,   21,   11
  260,20210126,   19,   42,     ,   17
  260,20210126,   20,   41,     ,   19
  260,20210126,   21,   38,     ,   16
  260,20210126,   22,   35,     ,    8
  260,20210126,   23,   31,     ,    1
  260,20210126,   24,   29,   22,   -6
  260,20210127,    1,   26,     ,   -3
  260,20210127,    2,   22,     ,    3
  260,20210127,    3,   23,     ,    0
  260,20210127,    4,   20,     ,    2
  260,20210127,    5,   17,     ,    6
  260,20210127,    6,   18,   16,   10
